n,time
25630,14
25640,5
25650,7
25660,26
25670,41
25680,46
25690,47
25700,23
25710,112
25720,40
25730,9
25740,55
25750,56
25760,19
25770,148
25780,119
25790,152
25800,45
25810,94
25820,13
25830,106
25840,15
25850,24
25860,21
25870,272
25880,23
25890,86
25900,39
25910,32
25920,106
25930,89
25940,104
25950,24
25960,32
25970,94
25980,6
25990,6
26000,1
26010,146
26020,22
26030,45
26040,22
26050,37
26060,13
26070,3
26080,4
26090,4
26100,82
26110,9
26120,121
26130,9
26140,16
26150,110
26160,2
26170,89
26180,21
26190,39
26200,48
26210,131
26220,11
26230,60
26240,52
26250,43
26260,89
26270,75
26280,125
26290,20
26300,20
26310,4
26320,43
26330,33
26340,24
26350,121
26360,38
26370,1
26380,93
26390,29
26400,35
26410,77
26420,107
26430,41
26440,66
26450,103
26460,59
26470,21
26480,19
26490,102
26500,81
26510,23
26520,24
26530,25
26540,80
26550,66
26560,4
26570,66
26580,19
26590,88
26600,253
26610,8
26620,36
26630,209
26640,119
26650,5
26660,44
26670,22
26680,45
26690,82
26700,90
26710,1119
26720,178
26730,162
26740,339
26750,130
26760,5
26770,146
26780,485
26790,110
26800,101
26810,103
26820,174
26830,71
26840,14
26850,8
26860,14
26870,56
26880,19
26890,12
26900,32
26910,43
26920,83
26930,23
26940,27
26950,13
26960,105
26970,25
26980,21
26990,15
27000,73
27010,12
27020,54
27030,116
27040,24
27050,37
27060,13
27070,203
27080,21
27090,86
27100,112
27110,2
27120,16
27130,24
27140,155
27150,210
27160,19
27170,3
27180,5
27190,19
27200,16
27210,80
27220,8
27230,1
27240,154
27250,117
27260,141
27270,9
27280,22
27290,15
27300,24
27310,170
27320,91
27330,112
27340,42
27350,68
27360,24
27370,27
27380,50
27390,40
27400,40
27410,171
27420,5
27430,0
27440,144
27450,24
27460,121
27470,9
27480,65
27490,0
27500,44
27510,53
27520,96
27530,6
27540,66
27550,22
27560,29
27570,144
27580,124
27590,28
27600,42
27610,51
27620,100
27630,0
27640,24
27650,17
27660,72
27670,129
27680,49
27690,54
27700,11
27710,155
27720,6
27730,103
27740,28
27750,84
27760,104
27770,125
27780,44
27790,37
27800,64
27810,54
27820,139
27830,201
27840,706
27850,624
27860,30
27870,161
27880,150
27890,510
27900,162
27910,11
27920,62
27930,64
27940,1202
27950,209
27960,166
27970,392
27980,70
27990,105
28000,8
28010,19
28020,44
28030,34
28040,41
28050,42
28060,11
28070,6
28080,12
28090,1
28100,14
28110,177
28120,75
28130,46
28140,75
28150,28
28160,131
28170,15
28180,78
28190,46
28200,119
28210,59
28220,121
